Įstaigos_kodas;Gydytojo_ID;Įrašo_sukūrimo_data
125873515;2487;2019-03-29 03:22:02
125873515;2711;2019-03-29 03:22:02
125873515;1919;2019-03-29 03:22:02
125873515;3686;2019-03-29 03:22:02
125873515;2455;2019-03-29 03:22:02
125873515;1920;2019-03-29 03:22:02
125873515;3762;2019-03-29 03:22:02
125873515;3784;2019-03-29 03:22:02
125873515;2528;2019-03-29 03:22:02
125873515;2282;2019-03-29 03:22:02
125873515;3987;2019-03-29 03:22:02
125873515;2032;2019-03-29 03:22:02
125873515;2579;2019-03-29 03:22:02
125873515;2489;2019-03-29 03:22:02
125873515;2250;2019-03-29 03:22:02
125873515;2225;2019-03-29 03:22:02
125873515;3422;2019-03-29 03:22:02
125873515;3781;2019-03-29 03:22:02
125873515;2483;2019-03-29 03:22:02
125873515;2504;2019-03-29 03:22:02
125873515;1949;2019-03-29 03:22:02
125873515;3281;2019-03-29 03:22:02
125873515;1956;2019-03-29 03:22:02
125873515;2259;2019-03-29 03:22:02
125873515;1962;2019-03-29 03:22:02
125873515;3261;2019-03-29 03:22:02
125873515;3308;2019-03-29 03:22:02
125873515;2255;2019-03-29 03:22:02
125873515;3292;2019-03-29 03:22:02
125873515;2976;2019-03-29 03:22:02
125873515;2063;2019-03-29 03:22:02
125873515;3662;2019-03-29 03:22:02
125873515;2298;2019-03-29 03:22:02
125873515;2312;2019-03-29 03:22:02
125873515;2468;2019-03-29 03:22:02
125873515;2530;2019-03-29 03:22:02
125873515;2599;2019-03-29 03:22:02
125873515;3435;2019-03-29 03:22:02
125873515;3470;2019-03-29 03:22:02
125873515;2311;2019-03-29 03:22:02
125873515;2258;2019-03-29 03:22:02
125873515;3045;2019-03-29 03:22:02
125873515;2257;2019-03-29 03:22:02
125873515;3650;2019-03-29 03:22:02
125873515;2486;2019-03-29 03:22:02
125873515;2484;2019-03-29 03:22:02
125873515;2071;2019-03-29 03:22:02
125873515;2009;2019-03-29 03:22:02
125873515;2249;2019-03-29 03:22:02
125873515;2251;2019-03-29 03:22:02
125873515;3444;2019-03-29 03:22:02
125873515;3240;2019-03-29 03:22:02
125873515;3134;2019-03-29 03:22:02
125873515;3481;2019-03-29 03:22:02
125873515;2299;2019-03-29 03:22:02
125873515;2080;2019-03-29 03:22:02
125873515;4145;2019-03-29 03:22:02
125873515;2254;2019-03-29 03:22:02
125873515;3701;2019-03-29 03:22:02
125873515;3448;2019-03-29 03:22:02
125873515;3899;2019-03-29 03:22:02
125873515;3903;2019-03-29 03:22:02
125873515;4104;2019-03-29 03:22:02
125873515;3967;2019-03-29 03:22:02
125873515;2492;2019-03-29 03:22:02
125873515;2495;2019-03-29 03:22:02
125873515;2039;2019-03-29 03:22:02
125873515;2043;2019-03-29 03:22:02
125873515;2365;2019-03-29 03:22:02
125873515;2053;2019-03-29 03:22:02
125873515;1973;2019-03-29 03:22:02
125873515;2064;2019-03-29 03:22:02
125873515;2068;2019-03-29 03:22:02
125873515;2077;2019-03-29 03:22:02
125873515;4091;2019-03-29 03:22:02
125873515;2294;2019-03-29 03:22:02
125873515;2698;2019-03-29 03:22:02
125873515;2029;2019-03-29 03:22:02
125873515;3623;2019-03-29 03:22:02
125873515;2037;2019-03-29 03:22:02
125873515;1929;2019-03-29 03:22:02
125873515;2287;2019-03-29 03:22:02
125873515;3815;2019-03-29 03:22:02
125873515;1955;2019-03-29 03:22:02
125873515;2536;2019-03-29 03:22:02
125873515;3891;2019-03-29 03:22:02
125873515;2065;2019-03-29 03:22:02
125873515;2273;2019-03-29 03:22:02
125873515;2293;2019-03-29 03:22:02
125873515;2014;2019-03-29 03:22:02
125873515;3805;2019-03-29 03:22:02
125873515;2295;2019-03-29 03:22:02
125873515;2076;2019-03-29 03:22:02
