Įstaigos_kodas;Gydytojo_ID;Įrašo_sukūrimo_data
302692454;8;2019-03-13 10:50:53
302692454;10000018;2019-03-13 10:50:53
302692454;10000041;2019-03-13 10:50:53
302692454;10000042;2019-03-13 10:50:53
302692454;10000043;2019-03-13 10:50:53
302692454;10000069;2019-03-13 10:50:53
302692454;10000070;2019-03-13 10:50:53
302692454;10000187;2019-03-13 10:50:53
302692454;10000224;2019-03-13 10:50:53
302692454;10000225;2019-03-13 10:50:53
302692454;10000260;2019-03-13 10:50:53
302692454;10000271;2019-03-13 10:50:53
